"data_hora","idade","genero","periodo","indice_aprendizado","aspecto","disciplinas","avaliacao","tipo","comp_cursadas","mat_cursadas","prat_cursadas"
"2021/08/10 12:45:51 PM GMT-3",23,"Feminino","2018.1",6,"ritmo_proprio","mat",3,"positivo",1,1,1
"2021/08/10 12:45:51 PM GMT-3",23,"Feminino","2018.1",6,"ritmo_proprio","comp",3,"positivo",1,1,1
"2021/08/10 12:45:51 PM GMT-3",23,"Feminino","2018.1",6,"ritmo_proprio","prat",3,"positivo",1,1,1
"2021/08/10 12:46:35 PM GMT-3",21,"Masculino","2018.2",5,"prob_tec","mat",1,"dificuldade",1,1,1
"2021/08/10 12:46:35 PM GMT-3",21,"Masculino","2018.2",5,"prob_tec","comp",1,"dificuldade",1,1,1
"2021/08/10 12:46:35 PM GMT-3",21,"Masculino","2018.2",5,"prob_tec","prat",1,"dificuldade",1,1,1
"2021/08/10 12:46:35 PM GMT-3",21,"Masculino","2018.2",5,"comunic_prej","mat",3,"dificuldade",1,1,1
"2021/08/10 12:46:35 PM GMT-3",21,"Masculino","2018.2",5,"comunic_prej","comp",3,"dificuldade",1,1,1
"2021/08/10 12:46:35 PM GMT-3",21,"Masculino","2018.2",5,"comunic_prej","prat",4,"dificuldade",1,1,1
"2021/08/10 12:46:35 PM GMT-3",21,"Masculino","2018.2",5,"prob_ger_temp","mat",1,"dificuldade",1,1,1
"2021/08/10 12:46:35 PM GMT-3",21,"Masculino","2018.2",5,"prob_ger_temp","comp",1,"dificuldade",1,1,1
"2021/08/10 12:46:35 PM GMT-3",21,"Masculino","2018.2",5,"prob_ger_temp","prat",1,"dificuldade",1,1,1
"2021/08/10 12:46:35 PM GMT-3",21,"Masculino","2018.2",5,"falta_contato","mat",4,"dificuldade",1,1,1
"2021/08/10 12:46:35 PM GMT-3",21,"Masculino","2018.2",5,"falta_contato","comp",4,"dificuldade",1,1,1
"2021/08/10 12:46:35 PM GMT-3",21,"Masculino","2018.2",5,"falta_contato","prat",5,"dificuldade",1,1,1
"2021/08/10 12:46:35 PM GMT-3",21,"Masculino","2018.2",5,"amb_nao_prod","mat",5,"dificuldade",1,1,1
"2021/08/10 12:46:35 PM GMT-3",21,"Masculino","2018.2",5,"amb_nao_prod","comp",5,"dificuldade",1,1,1
"2021/08/10 12:46:35 PM GMT-3",21,"Masculino","2018.2",5,"amb_nao_prod","prat",5,"dificuldade",1,1,1
"2021/08/10 12:46:35 PM GMT-3",21,"Masculino","2018.2",5,"flex_horario","mat",5,"positivo",1,1,1
"2021/08/10 12:46:35 PM GMT-3",21,"Masculino","2018.2",5,"flex_horario","comp",5,"positivo",1,1,1
"2021/08/10 12:46:35 PM GMT-3",21,"Masculino","2018.2",5,"flex_horario","prat",5,"positivo",1,1,1
"2021/08/10 12:46:35 PM GMT-3",21,"Masculino","2018.2",5,"estrut_clara","mat",3,"positivo",1,1,1
"2021/08/10 12:46:35 PM GMT-3",21,"Masculino","2018.2",5,"estrut_clara","comp",3,"positivo",1,1,1
"2021/08/10 12:46:35 PM GMT-3",21,"Masculino","2018.2",5,"estrut_clara","prat",2,"positivo",1,1,1
"2021/08/10 12:46:35 PM GMT-3",21,"Masculino","2018.2",5,"ritmo_proprio","mat",4,"positivo",1,1,1
"2021/08/10 12:46:35 PM GMT-3",21,"Masculino","2018.2",5,"ritmo_proprio","comp",4,"positivo",1,1,1
"2021/08/10 12:46:35 PM GMT-3",21,"Masculino","2018.2",5,"ritmo_proprio","prat",4,"positivo",1,1,1
"2021/08/10 12:50:02 PM GMT-3",22,"Masculino","2018.1",7,"prob_tec","mat",1,"dificuldade",1,1,1
"2021/08/10 12:50:02 PM GMT-3",22,"Masculino","2018.1",7,"prob_tec","comp",1,"dificuldade",1,1,1
"2021/08/10 12:50:02 PM GMT-3",22,"Masculino","2018.1",7,"prob_tec","prat",1,"dificuldade",1,1,1
"2021/08/10 12:50:02 PM GMT-3",22,"Masculino","2018.1",7,"comunic_prej","mat",3,"dificuldade",1,1,1
"2021/08/10 12:50:02 PM GMT-3",22,"Masculino","2018.1",7,"comunic_prej","comp",2,"dificuldade",1,1,1
"2021/08/10 12:50:02 PM GMT-3",22,"Masculino","2018.1",7,"comunic_prej","prat",1,"dificuldade",1,1,1
"2021/08/10 12:50:02 PM GMT-3",22,"Masculino","2018.1",7,"prob_ger_temp","mat",1,"dificuldade",1,1,1
"2021/08/10 12:50:02 PM GMT-3",22,"Masculino","2018.1",7,"prob_ger_temp","comp",1,"dificuldade",1,1,1
